stadium_id,stadium_name,zip_code,stadium_address
kQ5ZhqtDTdXZQgdgeV-sfQ,Simi Valley Batting Cages,93065,"['2019 Donville Ave', 'Simi Valley, CA 93065']"
XXZQ2zVfFwSCmr2W4fm7PQ,So Cal Hitting Zone Indoor batting cages.,91311,"['8929 Oso Ave', 'Ste B', 'Los Angeles, CA 91311']"
EFueEYIKWx03isiJmdz60Q,Underwood Family Farms,93021,"['3370 Sunset Valley Rd', 'Moorpark, CA 93021']"
zdmyoT1j_7z_Xkp8EWjelw,Regal Janss Marketplace,91360,"['255 North Moorpark Rd', 'Thousand Oaks, CA 91360']"
F9dxotflJlIM8CeuWq7ZPg,Drews Tickets,91302,"['23901 Calabasas Rd', 'Ste 2009', 'Calabasas, CA 91302']"
CuM50Gxqwbo54m9bfeQtYA,AMC DINE-IN Topanga 12,91303,"['6600 N Topanga Canyon Blvd', 'Ste 3100', 'Canoga Park, CA 91303']"
FkvuCVfar1IQbXplWDPcWQ,Barry's Tickets,91302,"['23622 Calabasas Rd', 'Ste 301', 'Calabasas, CA 91302']"
-nbQqcZiTKU_haMc76Z9sg,Sagebrush Cantina,91302,"['23527 Calabasas Rd', 'Calabasas, CA 91302']"
zbZkOdHT0zm3AG0wBmtIVQ,AMC Northridge 10,91324,"['9400 Shirley Ave', 'Northridge, CA 91324']"
3i3aTU6yqeIW8g5Iw2I1pw,Regal Simi Valley Civic Center,93063,"['2751 Tapo Cyn Rd', 'Simi Valley, CA 93063']"
jsaNIZib_qqQX-LeThPoXQ,Noski Auditorium,91330,"['9400 Etiwanda Ave', 'Los Angeles, CA 91330']"
uE5ndWV4SBqDuOmK7NmrrA,Plaza del Sol Performance Hall,91330,"['18111 Nordhoff St', 'Northridge, CA 91330']"
j6ax0Nl83lqQfavQHQuFTg,AMC Porter Ranch 9,91326,"['20059 Rinaldi St', 'Porter Ranch, CA 91326']"
JWUY1WdKwJ3GhomvfoTEBw,Dave & Buster's,91324,"['9301 Tampa Ave', 'Ste 212', 'Northridge, CA 91324']"
K9ddGXJLOm3uJFDsv5fQLA,Clint Greenwood Soccer Academy,91321,"['19953 Ave Of The Oaks', 'Santa Clarita, CA 91321']"
TGzwDw6DSzWjv-CVa3gEzg,VIP Tickets,91403,"['14515 Ventura Blvd', 'Ste 210', 'Los Angeles, CA 91403']"
3gbJWy0LEjWoae-uAOEuEw,Regency Plant 16,91402,"['7876 Van Nuys Blvd', 'Van Nuys, CA 91402']"
DFW_5ayroLsKWnRWo9Fj2g,Laemmle Newhall,91321,"['22500 Lyons Ave', 'Santa Clarita, CA 91321']"
4d8mVul-CvRx9lu-SkCWQQ,Regal Edwards Valencia,91355,"['24435 Town Center Dr', 'Santa Clarita, CA 91355']"
DMcaItw0odOdmoEw87JiDg,Santa Clarita Swap Meet,91350,"['22500 Soledad Canyon Rd', 'Santa Clarita, CA 91350']"
-_3G-8np8pPrR1t1KdI9Mw,Regal Edwards Canyon Country,91351,"['18800 Soledad Canyon Rd', 'Canyon Country, CA 91351']"
sKVCatsSqvlgXWStDnGecg,Roxy Stadium 11,93012,"['5001 Verdugo Way', 'Camarillo, CA 93012']"
NbIm0vNCPXhtNwBhG7pJ6g,Regency Paseo Camarillo Theaters,93010,"['390 N Lantana St', 'Camarillo, CA 93010']"
bHpCBOYKADfcHU1GYN9qqQ,Lazertag Axtreme,93065,"['591 Country Club Dr', 'Ste A', 'Simi Valley, CA 93065']"
tD7yRWpZMbFIkidnVRWRHg,Regal Edwards Camarillo Palace,93010,"['680 Ventura Blvd', 'Camarillo, CA 93010']"
